Jogo,Saudades_Dela,Heizmen,Kiro,Natan,Rogerin,,Zaps,Dropo,Zero,Não Jogo,Dava pra joga
Terraria,Dava pra joga,Dropo,Dropo,Dava pra joga,Dava pra joga,,,,,,
The Elder Scrolls Online,Dropo,Dava pra joga,Dava pra joga,Não jogo,Não jogo,,,,,,
The First Descendant,Dropo,Dropo,Dropo,Não jogo,Não jogo,,,,,,
The Forest (FINALIZADO),Dava pra joga,Dropo,Dava pra joga,Não jogo,Não jogo,,,,,,
The Lord of the Rings: Return to Moria™,Dava pra joga,Não jogo,Dava pra joga,Não jogo,Não jogo,,,,,,
The Spell Brigade (DEMO),Zero,Zero,Zero,Não jogo,Não jogo,,,,,,
Tinkerlands,Dava pra joga,Dropo,Dava pra joga,Não jogo,Não jogo,,,,,,
Travellers Rest,Dava pra joga,Dava pra joga,Dava pra joga,Não jogo,Não jogo,,,,,,
Tribes of Midgard,Zero,Zero,Dropo,Não jogo,Não jogo,,,,,,
Turmoil,Zero,Zero,Zero,Não jogo,Não jogo,,,,,,
Unturned,Dava pra joga,Não jogo,Dava pra joga,Não jogo,Não jogo,,,,,,
V Rising,Não jogo,Dropo,Dava pra joga,Não jogo,Não jogo,,,,,,
Valheim,Dava pra joga,Dropo,Dava pra joga,Não jogo,Dropo,,,,,,
Vampire Survivors,Não jogo,Dropo,Dropo,Não jogo,Não jogo,,,,,,
Warframe,Não jogo,Dava pra joga,Dropo,Não jogo,Não jogo,,,,,,
World War Z,Dropo,Dava pra joga,Dava pra joga,Não jogo,Não jogo,,,,,,
WoW,Não jogo,Zero,Dropo,Não jogo,Não jogo,,,,,,
